Reporting Year,Building ID,MapLot,Year Added,Annual Report Received,Report Type,Buildings Included,Parent Building ID,Assessor Address,Address Point GIS,Property Type,Primary Property Type - Self Selected,Year Built,Property GFA - Self Reported (ft2),Grantee,Co_grantee,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft2)
2016,2-9,185-58,2015,No,Single,,,39 Matignon Rd,"39 Matignon Rd
Cambridge, MA
(42.401848557, -71.132733342)",Nonresidential,,,,Roman Catholic Archbishop Of Boston,Corporation Sole,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,668-11,52A-21,2015,Yes,Single,,,60 Vassar St,"77-R Massachusetts Ave
Cambridge, MA",College/University,College/University,1928,26705,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,438261,1495346.6,,,,,,,,,10370518.7,4263773,,16129638.3,,604,,20195401.2,,756.2,,944.3,35.4,303.3,11.36
2017,188-2,208-16,2016,Yes,Child,"184-1, 184-2, 184-3, 184-8, 184-4, 184-5, 184-6, 184-7, 188-2, 188-1",,5-15 Fernald Dr,"26 Robinson St
Cambridge, MA
(42.383395593, -71.12683107)",Residential,Multifamily Housing,1949,202814,President & Fellows Of Harvard,C/O Harvard Real Estate Inc.,98,623297,2126688,74717,7471672,,,,,,,,,,9598361,10122647,47,50,14523057,15038872,72,74,579,3,8375,41
2016,106-4,203B-66,2015,Yes,Child,"106-6, 106-65, 106-5, 106-66, 106-67, 106-16, 106-68, 106-4, 106-69, 106-70, 106-14, 106-63, 106-7, 106-64",,102 Sherman Street,"10 Walden Square Rd
Cambridge, MA
(42.389361738, -71.132254796)",Residential,Multifamily Housing,1974,156003,WSQ Limited Partnership,"C/O Winn Residential, Attn: Li Sosna",63,689338.9,2352024.7,180331.1118,18033111.2,,,,,,,,,,20385135.8,19805880,130.7,127,26320124.2,25711905.5,168.7,164.8,1345,8.6,12937.6,
2016,241-8,144-1,2015,Yes,Child,"241-45, 241-8, 241-4, 241-41",,2 Oxford St,"12 Oxford St
Cambridge, MA
(42.377248624, -71.11600792)",Nonresidential,Laboratory,1958,254734,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,6371752.9,21740423.6,,,,,,,,,23578011.4,19683290.8,,65001725.8,63949202.3,255.2,251,115522749.4,114430362.9,453.5,449.2,4652.8,18.3,3711.7,
2017,245-43,257-47,2015,Yes,Child,"245-34, 245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"58 Fresh Pond Pl
Cambridge, MA
(42.379756829, -71.153308728)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",,100,85390,291352,4244,424398,,,,,,,,,,715750,742792,12,13,1360462,1398931,24,24,47,1,172,3
2017,680-13,47-90,2015,Yes,Single,,,100 Main St,"50 Memorial Dr
Cambridge, MA
(42.360471753, -71.083501721)",Nonresidential,College/University,1952,143950,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,652107,2224989,5118,511800,,,,,,,7686179,13012211,,23435180,,163,,30864260,,214,,1486,10,1785,12
2017,668-36,52A-21,2015,Yes,Single,,,60 Vassar St,"50 Vassar St
Cambridge, MA
(42.361880789, -71.091209451)",Nonresidential,College/University,1973,145819,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,4775088,16292604,14,1400,,,,,,,24503532,11852837,,52650372,,361,,89923226,,617,,3471,24,2499,17
2018,392-13,80-165,2015,Yes,Parent,"392-13, 411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor St,"5 Harrington Ter
Cambridge, MA",Multifamily Housing,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Peabody Properties Inc.,65,261771.6,893164.7,34450.86678,3445086.7,,,,,,,,,,4338251.4,4485819.7,84.5,4485819.7,6421878.1,6594912,125.1,6594912,251.5,4.9,2248.6,43.8
2017,728-3,58-95,2015,Yes,Single,,,314 Memorial Dr,"320 Memorial Dr
Cambridge, MA
(42.356819699, -71.094419801)",Nonresidential,College/University,1963,138589,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,772133,2634518,,,,,,,,,,7167583,,9802101,,71,,16895283,,122,,701,5,3712,27
2018,708-19,57-131,2015,Yes,Single,,,120 Massachusetts Ave,"100 Massachusetts Ave
Cambridge, MA",College/University,College/University,1959,46574,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1207199.9,4118966.6,,,,,,,,,,8023678.2,,12142644.8,,260.7,,22586369.7,,485,,848.6,18.2,1907.5,40.96
2016,206-17,213-2A,2015,Yes,Child,"206-12, 206-14, 206-18, 206-8, 206-17, 206-6",,52-70 Linnaean St,"64 Linnaean St
Cambridge, MA
(42.382356099, -71.125927587)",Residential,Residence Hall/Dormitory,1901,172773,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,675247.9,2303946.1,136150.986,13615098.6,,4140,,,,,,,,15923184.7,,92.2,,21534425.6,,124.6,,946.4,5.5,2816.4,
2018,467-14,31-20,2015,No,Parent,"467-14, 467-3",,345 Binney St,"303 Binney St
Cambridge, MA",,,,,"Brown, Albert W., Austin C. Et-Al","C/O ARE-Ma Region No. 61, Llc",,,,,,,,,,,,,,,,,,,,,,,,,,
2016,201-19,227-90,2015,Yes,Parent,"201-19, 201-17",,47 Concord Ave,"60 Garden St
Cambridge, MA
(42.381771417, -71.126495006)",Nonresidential,Laboratory,1972,78999,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,2538343.1,8660827.8,74094.7826,7409478.3,,,,,,,,,,16070306,16003818.5,203.4,202.6,34974951.4,34797887.8,442.7,440.5,1231.4,15.6,1961.9,
2016,560-19,130-144,2015,Yes,Child,"438-6, 438-8, 438-1, 438-7, 438-11",,900 Memorial Dr,"900 Memorial Dr
Cambridge, MA
(42.365054749, -71.115951391)",Residential,Multifamily Housing,1964,489826,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",61,2386143.3,8141522.1,4041.2884056,404128.8,,,,,,,,30334487.2,,38880138.2,,79.4,,62482349.4,,127.6,,2823.3,5.8,22951.4,46.86
2016,747-1,60-6,2015,Yes,Single,,,500 Memorial Dr,"450 Memorial Dr
Cambridge, MA
(42.35537716, -71.098877617)",Nonresidential,College/University,1970,171141,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1215614.6,4147677.5,,,,,,,,,,9547224.7,,13694902.2,,80,,24509411,,143.2,,1035.2,6,6672.6,
2017,358-7,7-29,2015,Yes,Single,,,225 Monsignor Obrien Hwy,"225 Monsignor Obrien Hwy
Cambridge, MA
(42.373171675, -71.080658782)",Nonresidential,Manufacturing/Industrial Plant,1920,65704,"Eastman Brook LLC,",,,529000,1804948,46017,4601700,,,,,,,,,,6406648,6474323,98,99,10499322,10547352,160,161,399,6,1092,17
2016,241-11,144-1,2015,Yes,Single,,,2 Oxford St,"29 Francis Ave
Cambridge, MA
(42.379491836, -71.112316583)",Nonresidential,Parking,2005,254606,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,738933.8,2521242.3,,,,,,,,,,,,2521242.3,2519658.7,9.9,9.9,7916700.8,7911728.4,31.1,31.1,243.9,1,143.2,
2018,214-37,156-24,2016,Yes,Child,"214-26, 214-37",,1663 Massachusetts Ave,"3 Wendell St
Cambridge, MA",Residence Hall/Dormitory,Residence Hall/Dormitory,2009,29992,Lesley College,,70,302888.5,1033455.7,8696.000351,869600,,,,,,,,,,1903055.7,1931873.9,63.5,1931873.9,4158130.9,4188390,138.6,4188390,125.4,4.2,1295.6,43.2
2016,59-21,268B-42,2015,Yes,Single,,,400 Rindge Avenue,"364 Rindge Ave
Cambridge, MA
(42.393865577, -71.138573551)",Residential,Multifamily Housing,1972,249723,Rindge Associates,"C/O Federal Management Co., Inc.",62,1268399.7,4327780.3,193696.0033,19369600.3,,,,,,,,,,23697380.6,23625691.8,94.9,94.6,33927310.5,33702207.5,135.9,135,1447.5,5.8,15382.9,61.6
2017,249-17,224-42,2015,Yes,Parent,"249-17, 249-9, 249-20",,5 Craigie Cir,"7 Craigie Cir
Cambridge, MA
(42.379291948, -71.127315829)",Residential,Multifamily Housing,1930,115986,"Rothrob Holdings, LLC",,72,330065,1126182,96899,9689916,,,,,,,,,,10816098,11413457,93,98,13710623,14306807,118,123,611,5,31104,268
2017,665-2,92-124,2015,Yes,Single,,,88 Auburn Pk,"68-101 Brookline St
Cambridge, MA
(42.361385605, -71.103868202)",Residential,Multifamily Housing,2000,6440,Massachusetts Institute Of Technology,C/O MIT Investment Management Comp.,,51823,176820,3288,328781,,,,,,,,,,505601,527141,79,82,900435,923052,140,143,33,5,264,41
2017,411-11,80-165,2015,Yes,Child,"392-13, 411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor St,"5 Harwell Dr
Cambridge, MA
(42.371657834, -71.094115497)",Residential,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Peabody Properties Inc.,67,247973,846085,35211,3521122,,,,,,,,,,4367207,4538791,85,88,6353885,6492368,124,126,259,5,2432,47
2016,668-36,52A-21,2015,Yes,Single,,,33 Massachusetts Ave,"50 Vassar St
Cambridge, MA
(42.361880789, -71.091209451)",Nonresidential,College/University,1973,145819,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,5029248,17159796.1,31.0099985,3101,,,,,,,22543871,13545931.1,,53252699.1,,365.2,,92725198.5,,635.9,,3747.8,25.7,1267.9,
2018,378-4,1A-82,2016,Yes,Single,,,10 Glassworks Ave,"10 Glassworks Ave
Cambridge, MA",Multifamily Housing,Multifamily Housing,1926,57415,Avb Maple Leaf Apts Limited Partnership,"C/O Avalonbay Communities, Inc",1,1609965.7,5493203.6,,,,,,,,,,,,5493203.6,5493203.6,95.7,5493203.6,17248659.4,17248659.4,300.4,17248659.4,421.2,7.3,2259.2,39.35
2017,318-27,159-1,2015,Yes,Single,,,1341 Massachusetts Ave,"17 Quincy St
Cambridge, MA
(42.373578083, -71.114844278)",Nonresidential,Office,1911,21330,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",83,103803,354177,1420,142026,,,,,,,341384,402610,,1240198,1261426,58,59,2086984,2115664,98,99,83,4,256,12
2017,461-10,18-47,2015,Yes,Single,,,1 First St,"17 Otis St
Cambridge, MA
(42.369984387, -71.077337319)",Residential,Multifamily Housing,2004,291742,"First Street Venture, L.L.C.,","C/O Leggat Mccall Properties LLC,",88,2299081,7844464,20933,2093298,,,,,,,,,,9937762,10171364,34,35,26829580,27074862,92,93,781,3,7831,27
2017,592-6,105-81,2016,No,Single,,,706 Massachusetts Ave,"692 Massachusetts Ave
Cambridge, MA
(42.365829909, -71.104497668)",Nonresidential,,,,Central Property Limited Partnership,C/O Riverside Management,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,668-32,52A-21,2015,Yes,Single,,,60 Vassar St,"32 Vassar St
Cambridge, MA",College/University,College/University,2004,464005,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,7295445.2,24892062,6582.0012,658200.1,,,,,,,26403756.9,26170091.2,,78124110.2,,168.4,,136739636.7,,294.7,,5072.6,10.9,8926.5,19.24
2017,89-17,264-34,2015,Yes,Single,,,247 Garden St,"253 Garden St
Cambridge, MA
(42.386623423, -71.135410314)",Residential,Multifamily Housing,1972,22392,Briston Arms Preservation,Associates Limited Partnership,85,184181,628426,4419,441900,,,,,,,,,,1070326,1110673,48,50,2437251,2539095,109,113,77,3,1198,53
2018,437-1,161-58,2015,Yes,Parent,"437-1, 437-3, 437-9",,48 Mill St,"95 Dunster St
Cambridge, MA",College/University,College/University,1762,254698,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,899671.9,3069681,5338.0009,533800.1,,,,,,,,17510999.1,,21114480.2,,82.9,,31265740.1,,122.8,,1426.4,5.6,5463,21.45
2016,232-2,257-60,2015,Yes,Child,"232-1, 232-2",,704 Huron Avenue,"700 Huron Ave
Cambridge, MA
(42.380935347, -71.154260923)",Residential,Multifamily Housing,1973,247000,Huron Towers Company,C/O First Realty Management Corp.,65,1284310.5,4382067.8,179375.1663,17937516.6,,,,,,,,,,22319584.5,21992326.3,90.4,89,32594085.5,31946769.7,132,129.3,1376.7,5.6,9160.8,
2017,590-1,16-33,2017,Yes,Single,,,270 Third St,"270 Third St
Cambridge, MA
(42.366039276, -71.082162006)",Residential,Multifamily Housing,2015,71561,"Aimco 270 Third Steet, LLC",C/O Paradigm Tax Froup,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,446-9,34-141,2015,Yes,Single,,,217-227 Thorndike St,"217 Thorndike St
Cambridge, MA
(42.370646322, -71.087808652)",Residential,Multifamily Housing,1989,30000,"Roberts, Lilian",Trustees of Condominium Assn.,67,228942,781150.1,5075.0004648,507500,,,,,,,,,,1288650.1,1250198.9,43,41.7,2985686.3,2919030.6,99.5,97.3,102.5,3.4,1104.9,
2018,266-4,157-69,2015,Yes,Single,,,11-19 Oxford St,"1575 Massachusetts Ave
Cambridge, MA",College/University,College/University,1994,58227,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,469570.4,1602174.4,,,,,,,,,1209326,2482915.1,,5294415.5,5342750.3,90.9,5342750.3,9227202.5,9294705.1,158.5,9294705.1,351.4,6,217.8,3.74
2018,266-8,157-69,2015,Yes,Single,,,11-19 Oxford St,"1557 Massachusetts Ave
Cambridge, MA",College/University,College/University,1957,39098,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,303891.5,1036877.8,,,,,,,,,834624,1837622.5,,3709124.3,3751367.7,94.9,3751367.7,6301155.7,6358746.8,161.2,6358746.8,245.5,6.3,239.3,6.12
2018,720-4,67-67,2015,Yes,Single,,,33 Erie St,"21 Erie St
Cambridge, MA",Laboratory,Laboratory,1925,51117,"Bmr-21 Erie Street Llc,",C/O Paradigm Tax Group Llc,,594491.9,2028406.7,27892.99983,2789300,,,,,,,,,,4817706.7,4934710.8,94.2,4934710.8,9297961.9,9420816.3,181.9,9420816.3,303.7,5.9,16.4,0.32
2016,245-43,257-47,2015,Yes,Child,"245-11, 245-16, 245-2, 245-26, 245-27, 245-28, 245-29, 245-3, 245-30, 245-31, 245-32, 245-33, 245-34, 245-35, 245-36, 245-37, 245-38, 245-39, 245-4, 245-40, 245-41, 245-42, 245-43, 245-44, 245-45, 245-46, 245-47, 245-48, 245-5, 245-50, 245-51, 245-52, 245-53, 245-54, 245-55, 245-56, 245-57, 245-58, 245-59, 245-6, 245-60, 245-61, 245-62, 245-63, 245-64, 245-65, 245-66, 245-8, 245-9",,676-694 Huron Ave,"58 Fresh Pond Pl
Cambridge, MA
(42.379756829, -71.153308728)",Residential,Multifamily Housing,1979,57875,"Gamble, Lincoln Bradley",Trustees of Condominium Assn.,100,87532,298659.4,4420.745982,442074.6,,,,,,,,,,740734,739664.1,12.8,12.8,1401968.7,1400392.5,24.2,24.2,52.4,0.9,87.5,
2018,387-21,242-38,2015,No,Child,"387-14, 387-22, 387-12, 387-23, 387-21, 387-18, 387-3, 387-6, 387-5, 387-24, 387-10, 387-8, 387-17, 387-25, 387-20, 387-39, 387-32, 387-28",,178 Coolidge Hill,"178 Coolidge Hill
Cambridge, MA",,,,,Shady Hill School,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,398-9,164-5,2015,Yes,Single,,,69 Jfk St,"69 JFK St
Cambridge, MA",College/University,College/University,1986,28390,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,308530.6,1052706.7,,,,,,,,,,502061.5,,1554768.1,1576448.5,54.8,1576448.5,3909499.5,3919721.2,137.7,3919721.2,114,4,454.7,16.02
2016,323-4,137-35,2015,Yes,Single,,,85-95 Prescott Street,"95 Prescott St
Cambridge, MA
(42.374773142, -71.113578007)",Residential,Multifamily Housing,1925,73171,President & Fellows Of Harvard College,C/O Harvard Real Estate Inc.,96,199225.8,679758.4,37366.0100098,3736601,,,,,,,,,,4416359.4,4404201.6,60.4,60.2,6057872.6,6045106.8,82.8,82.6,264.2,3.6,1776.5,24.28
2016,206-9,213-2A,2015,Yes,Child,"206-10, 206-5, 206-4, 206-1, 206-9",,52-70 Linnaean St,"124 Walker St
Cambridge, MA
(42.38228942, -71.124045621)",Residential,Residence Hall/Dormitory,1938,218516,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,959069.9,3272346.9,124555.009,12455500.9,,289800,4964,,,,,,,15727847.8,12254201.5,72,119.5,23353445.2,20481454.9,106.9,199.8,978.2,4.5,5457,10.96
2018,267-19,255-100,2015,Yes,Child,"267-10, 267-13, 267-12, 267-56, 267-50, 267-44, 267-32, 267-37, 267-35, 267-30, 267-28, 267-27, 267-24, 267-17, 267-16, 267-14, 267-31, 267-21, 267-43, 267-34, 267-18, 267-19, 267-19, 267-15, 267-10",,18 Cushing Court,"18 1 Corcoran Ln
Cambridge, MA",Multifamily Housing,Multifamily Housing,1953,200633,Cambridge Housing Authority,,68,670245.9,2286879.3,146810.0032,14681000.3,,,,,,,,,,16967879.6,17599238.8,84.6,17599238.8,22595851.4,23258778.5,112.6,23258778.5,955.1,4.8,14253.4,71.04
2016,680-7,47-90,2015,Yes,Single,,,36 Memorial Dr,"30 Wadsworth St
Cambridge, MA
(42.360965118, -71.084241431)",Nonresidential,College/University,1965,95445,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,1182599.9,4035031.2,31.00000115,3100,,,,,,,5601275.4,12281483.5,,21920890.1,,229.7,,33049657.7,,346.3,,1501.2,15.7,453.3,
2018,626-9,72A-1,2015,Yes,Child,"626-1, 626-7, 626-4, 626-2, 626-9, 626-8",,637 Main St,"35 Newtowne Ct
Cambridge, MA",Multifamily Housing,Multifamily Housing,1938,275666,Cambridge Housing Authority,,84,1099707.8,3752203.5,153886.003,15388600.3,,,,,,,,,,19140803.8,19754597.3,69.4,19754597.3,27939949.4,28584432.5,101.4,28584432.5,1105,4,14034.9,50.91
2018,299-11,143-11,2015,Yes,Single,,,1737 Cambridge St,"1737 Cambridge St
Cambridge, MA",College/University,College/University,2005,123633,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1212309,4136399,9052.224671,905222.5,,,,,,,4998455.4,2697751.7,,12737828.5,12798696.4,103,12798696.4,22182737.8,22274344.6,179.4,22274344.6,807.8,6.5,1232.3,9.97
2018,44-4,267.4-305,2015,Yes,Single,,,100 Cambridgepark Dr,"100 Cambridgepark Dr
Cambridge, MA",Office,Office,1992,135572,100 Cambridge Park Investors Llc,C/O Morgan Stanley Real Estate Advisor,65,2698081.9,9205856.5,,,,,,,,,,,,9205856.5,9342926.7,67.9,9342926.7,28906389.4,29336789.9,213.2,29336789.9,705.8,5.2,729,5.38
2018,506-37,118-30,2015,Yes,Single,,,825 Massachusetts Ave,"831 Massachusetts Ave
Cambridge, MA",Office,Office,1950,21808,Cambridge City Of,,69,318596.1,1087050,5619.282153,561928.2,,,,,,,,,,1648978.2,1675059.3,75.6,1675059.3,4003361.6,4012907.5,183.6,4012907.5,113.2,5.2,18091,829.56
2017,241-17,144-1,2015,Yes,Single,,,2 Oxford St,"11 Divinity Ave
Cambridge, MA
(42.378272319, -71.11445226)",Nonresidential,College/University,1876,105891,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,1010099,3446457,,,,,,,,,3641385,2451064,,9538906,9612896,90,91,17411989,17513954,164,165,649,6,206,2
2018,314-32,220-165,2015,Yes,Parent,"314-32, 314-23",,221 Mt Auburn St,"221 Mt Auburn St
Cambridge, MA",Multifamily Housing,Multifamily Housing,1964,126258,Inspection Req For All Units 5/1 /03,Second Notice 5/28/03,77,688158.9,2347998.5,62272.37562,6227237.6,,,,,,,,,,8575236,8875150.3,67.9,8875150.3,13911314.6,14226224.6,110.2,14226224.6,510.8,4,1693.5,13.41
2018,513-4,131-70,2015,Yes,Child,"513-3, 513-4",,89 Banks St,"45 Flagg St
Cambridge, MA",Residence Hall/Dormitory,Residence Hall/Dormitory,1970,215910,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",66,927834.1,3165770.4,,,,,,,,,,12773248,,15939018.4,16450995.8,73.8,16450995.8,25307261.3,25923191.2,117.2,25923191.2,1090.8,5.1,4496.2,20.82
2016,241-48,144-1,2015,Yes,Single,,,2 Oxford St,"12 Oxford St
Cambridge, MA
(42.377248624, -71.11600792)",Nonresidential,College/University,1981,110655,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,3604869.2,12299815.3,2997.054668,299705.5,,,,,,,5366862.9,8303277,,26269660.6,25944768.8,237.4,234.5,54292157,53957736.5,490.6,487.6,2040,18.4,1106.4,10
2018,392-17,80-165,2015,Yes,Child,"392-13, 411-9, 392-23, 392-22, 392-21, 392-20, 392-19, 392-8, 411-8, 392-17, 411-7, 392-16, 411-6, 411-5, 398-13, 411-4, 411-3, 411-29, 411-28, 411-27, 411-26, 411-25, 411-24, 411-23, 411-22, 411-21, 411-20, 411-19, 411-18, 411-14, 411-13, 411-11, 411-10, 411-1, 392-9, 392-8, 392-4",,427 Windsor St,"2 Harwell Dr
Cambridge, MA",Multifamily Housing,Multifamily Housing,2014,51344,"Harwell Homes, Inc.",C/O Peabody Properties Inc.,65,261771.6,893164.7,34450.86678,3445086.7,,,,,,,,,,4338251.4,4485819.7,84.5,4485819.7,6421878.1,6594912,125.1,6594912,251.5,4.9,2248.6,43.8
2018,708-16,57-171,2015,Yes,Single,,,106 Vassar St,"410-R Memorial Dr
Cambridge, MA",College/University,College/University,1971,27388,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,192102.9,655455.3,19223.99885,1922399.9,,,,,,,,,,2577855.2,,94.1,,4076649.6,,148.8,,152.4,5.6,0,0
2018,241-49,144-1,2015,Yes,Single,,,2 Oxford St,"2 Divinity Ave
Cambridge, MA",College/University,College/University,1930,64389,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,210745.9,719065.2,,,,,,,,,387324,2215989.9,,3322379.1,3432317.3,51.6,3432317.3,5311115.7,5443445.8,82.5,5443445.8,222.7,3.5,678,10.53
2018,241-67,144-1,2015,Yes,Single,,,2 Oxford St,"21 Divinity Ave
Cambridge, MA",College/University,College/University,1974,34800,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,258532.8,882114.1,,,,,,,,,780833.8,1298509.1,,2961457.1,2975697.5,85.1,2975697.5,5112832.1,5134913.3,146.9,5134913.3,195,5.6,327.2,9.4
2016,456-3,86-105,2015,Yes,Single,,,89 Elm Street,"89 Elm Street
Cambridge, MA
(42.368970329, -71.097799881)",Municipal,K-12 School,1983,58323,City Of Cambridge,,61,362329.5,1236268.4,28615.865019,2861586.5,,,,,,,,,,4097854.9,4020273.8,70.3,68.9,6886548.7,6804288.7,118.1,116.7,271.6,4.7,39622.6,
2017,662-7,69-62,2015,Yes,Parent,"662-7, 662-11",,20 Sidney St,"20 Sidney St
Cambridge, MA
(42.362300243, -71.100245253)",Nonresidential,Supermarket/Grocery Store,1999,42419,Massachusetts Institute Of Technology,Office Of The Treasurer,21,2411847,8229222,39756,3975600,,,,,,,,,,12204822,12412109,288,293,30014138,30123622,708,710,914,22,1640,39
2018,747-9,60-6,2015,Yes,Single,,,500 Memorial Dr,"476 Memorial Dr
Cambridge, MA",College/University,College/University,1976,114930,Massachusetts Institute Of Technology,C/O Office Of The Treasurer,,651907.9,2224310,570.00006,57000,,,,,,,,5285838.8,,7567148.8,,65.8,,13403264.6,,116.6,,524.5,4.6,0,0
2018,48-18,267.4-221,2016,Yes,Single,,,130 Fawcett St,"130 Fawcett St
Cambridge, MA",Food Service,Food Service,1955,30000,"Ivanovic, Ludmilla R. L., Tr. Of",One Hundred Thirty Fawcett Street,,711739.9,2428456.9,113134.9646,11313496.5,,,,,,,,,63064,13957127.7,14033987.1,465.2,14033987.1,20180173.4,19800560.3,672.7,19800560.3,803.6,26.8,2096,69.87
2016,380-1,165-40,2015,Yes,Parent,"380-1, 380-2, 380-4, 380-5, 380-9",,122 Mt Auburn St,"122 Mt Auburn St
Cambridge, MA
(42.373235443, -71.122679705)",Residential,Multifamily Housing,1920,35505,President & Fellows Of Harvard College,,71,242862,828645.1,16864.914308,1686491.4,,,,,,,,,,2515136.5,2488508.1,70.8,70.1,4372761.7,4331900.7,123.2,122,169.7,4.8,1628.9,45.88
2017,608-2,106-105,2015,Yes,Single,,,632 Massachusetts Ave,"291 Green St
Cambridge, MA
(42.36485708, -71.104288176)",Residential,Multifamily Housing,2000,160567,"Central SquARE LLC,",C/O Hunneman Real Estate Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,437-9,161-58,2015,Yes,Child,"437-1, 437-3, 437-9",,962 Memorial Dr,"64 JFK St
Cambridge, MA
(42.371621285, -71.120844606)",Residential,Residence Hall/Dormitory,1762,254698,President & Fellows Of Harvard College,"C/O Harvard Real Estate, Inc.",,952868.9,3251189,6915.00165,691500.2,,,,,,,,21884998.5,,25827687.6,,101.4,,37263361.1,,146.3,,1804.4,7.1,7529.9,
2017,597-7,73-124,2015,Yes,Child,"597-13, 597-12, 597-11, 567-10, 597-9, 597-8, 597-7, 597-6, 597-5, 597-4, 597-3, 597-2, 597-17, 597-16, 597-15, 597-14, 597-1",,108 Harvard St,"170 Windsor St
Cambridge, MA
(42.365672776, -71.095884296)",Nonresidential,Multifamily Housing,1942,200075,Cambridge Housing Authority,,46,1137674,3881744,148250,14825000,,,,,,,,,112843,19091764,19178336,95,96,28139945,28231182,141,141,1152,6,11289,56
2017,694-4,95-73,2016,Yes,Single,,,126-144 Brookline St,"130-B Brookline St
Cambridge, MA
(42.360529893, -71.104638857)",Nonresidential,Laboratory,2010,51484,"MIT 130 Brookline LLC,","C/O MIT, Treasure'S Office",,3473143,11850367,93614,9361444,,,,,,,,,,21211811,21298781,412,414,47039668,46990750,914,913,1510,29,2620,51
